Ad Index,Advertiser,Ad Text,Ad Link,Page ID,Active Time,Error,Raw HTML
473,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
474,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
475,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
476,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
477,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
478,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
484,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
485,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
486,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
487,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
488,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
489,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
490,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
496,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
497,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
498,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
499,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
500,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
501,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
502,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
508,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
509,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
510,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
